T,M,D,K,C,Val,DK,DKC
5,4,C2,P3,S1,-946.1480149401,"C2,P3","C2,P3,S1"
5,4,C2,P3,S4,-931.1480149401,"C2,P3","C2,P3,S4"
5,4,C2,P3,S6,28.8519850599,"C2,P3","C2,P3,S6"
6,0,C1,P3,S1,34.793465209301,"C1,P3","C1,P3,S1"
6,0,C1,P3,S4,-945.206534790699,"C1,P3","C1,P3,S4"
6,0,C1,P3,S6,19.793465209301,"C1,P3","C1,P3,S6"
6,0,C2,P3,S1,-945.206534790699,"C2,P3","C2,P3,S1"
6,0,C2,P3,S4,-930.206534790699,"C2,P3","C2,P3,S4"
6,0,C2,P3,S6,29.793465209301,"C2,P3","C2,P3,S6"
6,1,C1,P3,S1,34.793465209301,"C1,P3","C1,P3,S1"
6,1,C1,P3,S4,-945.206534790699,"C1,P3","C1,P3,S4"
6,1,C1,P3,S6,19.793465209301,"C1,P3","C1,P3,S6"
6,1,C2,P3,S1,-945.206534790699,"C2,P3","C2,P3,S1"
6,1,C2,P3,S4,-930.206534790699,"C2,P3","C2,P3,S4"
6,1,C2,P3,S6,29.793465209301,"C2,P3","C2,P3,S6"
6,2,C1,P3,S1,34.793465209301,"C1,P3","C1,P3,S1"
6,2,C1,P3,S4,-945.206534790699,"C1,P3","C1,P3,S4"
6,2,C1,P3,S6,19.793465209301,"C1,P3","C1,P3,S6"
6,2,C2,P3,S1,-945.206534790699,"C2,P3","C2,P3,S1"
6,2,C2,P3,S4,-930.206534790699,"C2,P3","C2,P3,S4"
6,2,C2,P3,S6,29.793465209301,"C2,P3","C2,P3,S6"
6,3,C1,P3,S1,34.793465209301,"C1,P3","C1,P3,S1"
6,3,C1,P3,S4,-945.206534790699,"C1,P3","C1,P3,S4"
6,3,C1,P3,S6,19.793465209301,"C1,P3","C1,P3,S6"
6,3,C2,P3,S1,-945.206534790699,"C2,P3","C2,P3,S1"
6,3,C2,P3,S4,-930.206534790699,"C2,P3","C2,P3,S4"
6,3,C2,P3,S6,29.793465209301,"C2,P3","C2,P3,S6"
6,4,C1,P3,S1,34.793465209301,"C1,P3","C1,P3,S1"
6,4,C1,P3,S4,-945.206534790699,"C1,P3","C1,P3,S4"
6,4,C1,P3,S6,19.793465209301,"C1,P3","C1,P3,S6"
6,4,C2,P3,S1,-945.206534790699,"C2,P3","C2,P3,S1"
6,4,C2,P3,S4,-930.206534790699,"C2,P3","C2,P3,S4"
6,4,C2,P3,S6,29.793465209301,"C2,P3","C2,P3,S6"
7,0,C1,P3,S1,35.72553055720799,"C1,P3","C1,P3,S1"
7,0,C1,P3,S4,-944.274469442792,"C1,P3","C1,P3,S4"
7,0,C1,P3,S6,20.72553055720799,"C1,P3","C1,P3,S6"
7,0,C2,P3,S1,-944.274469442792,"C2,P3","C2,P3,S1"
7,0,C2,P3,S4,-929.274469442792,"C2,P3","C2,P3,S4"
7,0,C2,P3,S6,30.72553055720799,"C2,P3","C2,P3,S6"
7,1,C1,P3,S1,35.72553055720799,"C1,P3","C1,P3,S1"
7,1,C1,P3,S4,-944.274469442792,"C1,P3","C1,P3,S4"
7,1,C1,P3,S6,20.72553055720799,"C1,P3","C1,P3,S6"
7,1,C2,P3,S1,-944.274469442792,"C2,P3","C2,P3,S1"
7,1,C2,P3,S4,-929.274469442792,"C2,P3","C2,P3,S4"
7,1,C2,P3,S6,30.72553055720799,"C2,P3","C2,P3,S6"
7,2,C1,P3,S1,35.72553055720799,"C1,P3","C1,P3,S1"
7,2,C1,P3,S4,-944.274469442792,"C1,P3","C1,P3,S4"
7,2,C1,P3,S6,20.72553055720799,"C1,P3","C1,P3,S6"
7,2,C2,P3,S1,-944.274469442792,"C2,P3","C2,P3,S1"
7,2,C2,P3,S4,-929.274469442792,"C2,P3","C2,P3,S4"
7,2,C2,P3,S6,30.72553055720799,"C2,P3","C2,P3,S6"
7,3,C1,P3,S1,35.72553055720799,"C1,P3","C1,P3,S1"
7,3,C1,P3,S4,-944.274469442792,"C1,P3","C1,P3,S4"
7,3,C1,P3,S6,20.72553055720799,"C1,P3","C1,P3,S6"
7,3,C2,P3,S1,-944.274469442792,"C2,P3","C2,P3,S1"
7,3,C2,P3,S4,-929.274469442792,"C2,P3","C2,P3,S4"
7,3,C2,P3,S6,30.72553055720799,"C2,P3","C2,P3,S6"
7,4,C1,P3,S1,35.72553055720799,"C1,P3","C1,P3,S1"
7,4,C1,P3,S4,-944.274469442792,"C1,P3","C1,P3,S4"
7,4,C1,P3,S6,20.72553055720799,"C1,P3","C1,P3,S6"
7,4,C2,P3,S1,-944.274469442792,"C2,P3","C2,P3,S1"
7,4,C2,P3,S4,-929.274469442792,"C2,P3","C2,P3,S4"
7,4,C2,P3,S6,30.72553055720799,"C2,P3","C2,P3,S6"
8,0,C1,P3,S1,36.64827525163591,"C1,P3","C1,P3,S1"
8,0,C1,P3,S4,-943.3517247483641,"C1,P3","C1,P3,S4"
8,0,C1,P3,S6,21.64827525163591,"C1,P3","C1,P3,S6"
8,0,C2,P3,S1,-943.3517247483641,"C2,P3","C2,P3,S1"
8,0,C2,P3,S4,-928.3517247483641,"C2,P3","C2,P3,S4"
8,0,C2,P3,S6,31.64827525163591,"C2,P3","C2,P3,S6"
8,1,C1,P3,S1,36.64827525163591,"C1,P3","C1,P3,S1"
8,1,C1,P3,S4,-943.3517247483641,"C1,P3","C1,P3,S4"
8,1,C1,P3,S6,21.64827525163591,"C1,P3","C1,P3,S6"
8,1,C2,P3,S1,-943.3517247483641,"C2,P3","C2,P3,S1"
8,1,C2,P3,S4,-928.3517247483641,"C2,P3","C2,P3,S4"
8,1,C2,P3,S6,31.64827525163591,"C2,P3","C2,P3,S6"
8,2,C1,P3,S1,36.64827525163591,"C1,P3","C1,P3,S1"
8,2,C1,P3,S4,-943.3517247483641,"C1,P3","C1,P3,S4"
8,2,C1,P3,S6,21.64827525163591,"C1,P3","C1,P3,S6"
8,2,C2,P3,S1,-943.3517247483641,"C2,P3","C2,P3,S1"
8,2,C2,P3,S4,-928.3517247483641,"C2,P3","C2,P3,S4"
8,2,C2,P3,S6,31.64827525163591,"C2,P3","C2,P3,S6"
8,3,C1,P3,S1,36.64827525163591,"C1,P3","C1,P3,S1"
8,3,C1,P3,S4,-943.3517247483641,"C1,P3","C1,P3,S4"
8,3,C1,P3,S6,21.64827525163591,"C1,P3","C1,P3,S6"
8,3,C2,P3,S1,-943.3517247483641,"C2,P3","C2,P3,S1"
8,3,C2,P3,S4,-928.3517247483641,"C2,P3","C2,P3,S4"
8,3,C2,P3,S6,31.64827525163591,"C2,P3","C2,P3,S6"
