T,M,D,K,C,Val,DK,DKC
6,4,C2,P3,S6,3.592941955274334,"C2,P3","C2,P3,S6"
7,0,C1,P3,S1,4.769531921953251,"C1,P3","C1,P3,S1"
7,0,C1,P3,S4,-995.1164545026925,"C1,P3","C1,P3,S4"
7,0,C1,P3,S6,4.883545497307988,"C1,P3","C1,P3,S6"
7,0,C2,P3,S1,-995.7008776244128,"C2,P3","C2,P3,S1"
7,0,C2,P3,S4,-995.8754408970611,"C2,P3","C2,P3,S4"
7,0,C2,P3,S6,4.473685648235386,"C2,P3","C2,P3,S6"
7,1,C1,P3,S1,4.746011444635401,"C1,P3","C1,P3,S1"
7,1,C1,P3,S4,-995.1923531421294,"C1,P3","C1,P3,S4"
7,1,C1,P3,S6,4.863052504854321,"C1,P3","C1,P3,S6"
7,1,C2,P3,S1,-995.7008776244146,"C2,P3","C2,P3,S1"
7,1,C2,P3,S4,-995.875440897061,"C2,P3","C2,P3,S4"
7,1,C2,P3,S6,4.473685648234948,"C2,P3","C2,P3,S6"
7,2,C1,P3,S1,4.746011444634889,"C1,P3","C1,P3,S1"
7,2,C1,P3,S4,-995.1923531421293,"C1,P3","C1,P3,S4"
7,2,C1,P3,S6,4.86305250485436,"C1,P3","C1,P3,S6"
7,2,C2,P3,S1,-995.7008776244136,"C2,P3","C2,P3,S1"
7,2,C2,P3,S4,-995.8754408970617,"C2,P3","C2,P3,S4"
7,2,C2,P3,S6,4.473685648235358,"C2,P3","C2,P3,S6"
7,3,C1,P3,S1,4.69821151287241,"C1,P3","C1,P3,S1"
7,3,C1,P3,S4,-995.276551648119,"C1,P3","C1,P3,S4"
7,3,C1,P3,S6,4.82095325185928,"C1,P3","C1,P3,S6"
7,3,C2,P3,S1,-995.7008776244139,"C2,P3","C2,P3,S1"
7,3,C2,P3,S4,-995.8754408970617,"C2,P3","C2,P3,S4"
7,3,C2,P3,S6,4.473685648234786,"C2,P3","C2,P3,S6"
7,4,C1,P3,S1,4.69821151287241,"C1,P3","C1,P3,S1"
7,4,C1,P3,S4,-995.276551648119,"C1,P3","C1,P3,S4"
7,4,C1,P3,S6,4.82095325185928,"C1,P3","C1,P3,S6"
7,4,C2,P3,S1,-995.7008776244139,"C2,P3","C2,P3,S1"
7,4,C2,P3,S4,-995.8754408970617,"C2,P3","C2,P3,S4"
7,4,C2,P3,S6,4.473685648234786,"C2,P3","C2,P3,S6"
8,0,C1,P3,S1,4.864810042334934,"C1,P3","C1,P3,S1"
8,0,C1,P3,S4,-995.1351899576649,"C1,P3","C1,P3,S4"
8,0,C1,P3,S6,4.864810042334885,"C1,P3","C1,P3,S6"
8,0,C2,P3,S1,-995.1351899576649,"C2,P3","C2,P3,S1"
8,0,C2,P3,S4,-995.1351899576655,"C2,P3","C2,P3,S4"
8,0,C2,P3,S6,4.864810042334783,"C2,P3","C2,P3,S6"
8,1,C1,P3,S1,4.864810042334932,"C1,P3","C1,P3,S1"
8,1,C1,P3,S4,-995.1351899576648,"C1,P3","C1,P3,S4"
8,1,C1,P3,S6,4.864810042334697,"C1,P3","C1,P3,S6"
8,1,C2,P3,S1,-995.1351899576639,"C2,P3","C2,P3,S1"
8,1,C2,P3,S4,-995.1351899576656,"C2,P3","C2,P3,S4"
8,1,C2,P3,S6,4.86481004233484,"C2,P3","C2,P3,S6"
8,2,C1,P3,S1,4.86481004233489,"C1,P3","C1,P3,S1"
8,2,C1,P3,S4,-995.1351899576649,"C1,P3","C1,P3,S4"
8,2,C1,P3,S6,4.864810042334828,"C1,P3","C1,P3,S6"
8,2,C2,P3,S1,-995.1351899576654,"C2,P3","C2,P3,S1"
8,2,C2,P3,S4,-995.135189957665,"C2,P3","C2,P3,S4"
8,2,C2,P3,S6,4.8648100423352325,"C2,P3","C2,P3,S6"
8,3,C1,P3,S1,4.775636781869821,"C1,P3","C1,P3,S1"
8,3,C1,P3,S4,-995.3135364785953,"C1,P3","C1,P3,S4"
8,3,C1,P3,S6,4.7756367818698635,"C1,P3","C1,P3,S6"
8,3,C2,P3,S1,-995.1351899576654,"C2,P3","C2,P3,S1"
8,3,C2,P3,S4,-995.1351899576657,"C2,P3","C2,P3,S4"
8,3,C2,P3,S6,4.86481004233409,"C2,P3","C2,P3,S6"
8,4,C1,P3,S1,4.775636781869821,"C1,P3","C1,P3,S1"
8,4,C1,P3,S4,-995.3135364785953,"C1,P3","C1,P3,S4"
8,4,C1,P3,S6,4.7756367818698635,"C1,P3","C1,P3,S6"
8,4,C2,P3,S1,-995.1351899576654,"C2,P3","C2,P3,S1"
8,4,C2,P3,S4,-995.1351899576657,"C2,P3","C2,P3,S4"
8,4,C2,P3,S6,4.86481004233409,"C2,P3","C2,P3,S6"
9,0,C1,P3,S1,4.846261941911564,"C1,P3","C1,P3,S1"
9,0,C1,P3,S4,-995.1537380580886,"C1,P3","C1,P3,S4"
9,0,C1,P3,S6,4.8462619419113935,"C1,P3","C1,P3,S6"
9,0,C2,P3,S1,-995.1537380580883,"C2,P3","C2,P3,S1"
9,0,C2,P3,S4,-995.1537380580875,"C2,P3","C2,P3,S4"
9,0,C2,P3,S6,4.8462619419103765,"C2,P3","C2,P3,S6"
9,1,C1,P3,S1,4.846261941911444,"C1,P3","C1,P3,S1"
